method,ARI_Koh,ARI_KohTCC,ARI_Kumar,ARI_KumarTCC,ARI_SimKumar4easy,ARI_SimKumar4hard,ARI_SimKumar8hard,ARI_Trapnell,ARI_TrapnellTCC,ARI_Zhengmix4eq,ARI_Zhengmix4uneq,ARI_Zhengmix8eq,elapsed_Koh,elapsed_KohTCC,elapsed_Kumar,elapsed_KumarTCC,elapsed_SimKumar4easy,elapsed_SimKumar4hard,elapsed_SimKumar8hard,elapsed_Trapnell,elapsed_TrapnellTCC,elapsed_Zhengmix4eq,elapsed_Zhengmix4uneq,elapsed_Zhengmix8eq,s.norm.vs.true_Koh,s.norm.vs.true_KohTCC,s.norm.vs.true_Kumar,s.norm.vs.true_KumarTCC,s.norm.vs.true_SimKumar4easy,s.norm.vs.true_SimKumar4hard,s.norm.vs.true_SimKumar8hard,s.norm.vs.true_Trapnell,s.norm.vs.true_TrapnellTCC,s.norm.vs.true_Zhengmix4eq,s.norm.vs.true_Zhengmix4uneq,s.norm.vs.true_Zhengmix8eq,nclust.vs.true_Koh,nclust.vs.true_KohTCC,nclust.vs.true_Kumar,nclust.vs.true_KumarTCC,nclust.vs.true_SimKumar4easy,nclust.vs.true_SimKumar4hard,nclust.vs.true_SimKumar8hard,nclust.vs.true_Trapnell,nclust.vs.true_TrapnellTCC,nclust.vs.true_Zhengmix4eq,nclust.vs.true_Zhengmix4uneq,nclust.vs.true_Zhengmix8eq
CIDR,0.672157887216893,0.805414039026433,0.988771468816226,0.977355155998765,1,1,0.710639238475101,0.337035263369791,0.284180146539576,0.309700198987428,0.475757367407447,0.254100243027164,7.30500000000001,96.5149999999999,2.035,25.337,5.36099999999999,5.358,5.53699999999998,1.738,21.588,260.746000000001,1087.955,356.312999999998,0.0408262326963093,0.00585355945513721,0.000732689999963676,0.000470012224962346,0,0,0.104961665964896,0.00762837461082544,0.00455601635876057,0.35700958189724,0.304125588905859,0.248850752955988,3,2,0,0,0,0,1,0,1,5,1,0
FlowSOM,0.699086983812541,0.854846365402695,0.511506891907816,0.563386654872455,1,1,1,0.118279940508686,0.301337404011167,0.00272193737540804,0.00528329043805617,0.197470143384951,12.877,173.006,3.079,56.731,9.483,9.60399999999998,13.3960000000001,2.72699999999999,38.294,107.949,170.224,99.2750000000005,0.055915923385596,0.00739699813525996,0.403423193232286,0.360148245570609,0,0,0,0.242927989701201,0.0369411410797637,0.724523887444697,0.734712372793942,0.372677171980544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCAHC,0.868521227053163,0.891117489479413,1,1,1,1,1,0.417557035658442,0.392737565535529,0.273348874801984,0.475467205034453,0.353127781015228,10.352,177.436,3.06,57.8970000000002,12.056,12.468,10.98,1.896,39.1849999999999,103.339,170.229,102.514,0.0036466271346427,0.0042818216822128,0,0,0,0,0,0.00720104878408179,0.00052438192442672,0.347204590320709,0.0433717803856646,0.249973178627435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCAKmeans,0.835530960755114,0.90255690285451,0.988771468816226,0.97813378353666,1,1,1,0.356984971281784,0.299509795776457,0.283281248957616,0.437029321042403,0.374058173384005,12.3860000000001,205.31,2.77199999999999,54.134,9.77300000000002,9.56599999999997,11.3,1.758,39.221,109.734,186.881,122.618,0.00449615302401474,0.000275754905078474,0.000732689999963676,8.19216010147228e-05,0,0,0,0.00369525176772012,0.00839866969831193,0.179500551551448,0.0592208078176093,0.16865475341854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RaceID2,0.280254815758173,0.275718726792792,0.948983658194727,1,0.643995290457945,0.194207229556086,0.184827275607172,0.284198156644937,0.240264086359327,0.773391304397571,0.658930500901482,0.32625596437536,64.3589999999967,743.886999999871,9.94700000000012,175.884000000005,39.3290000000002,37.518,45.4789999999994,8.12400000000071,120.477,3312.12699999998,20253.079,5837.30300000007,0.0195020397391298,0.0469973782194458,0.00306609583315709,0,0.143482369896168,0.0479750007635467,0.132751021790291,0.0611448200389052,0.0744520259841654,0.008596258250538,0.054899216674533,0.11908503119049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RtsneKmeans,0.965587924869221,0.96657297727679,0.988771468816226,1,1,1,0.705417944546673,0.377949193053825,0.370827012684622,0.811784336133574,0.669797280343735,0.542081404835158,29.233,206.118,8.97400000000005,68.204,28.989,27.034,27.0029999999999,8.62099999999998,45.1129999999998,248.158,394.537,247.816000000001,1.47868455547817e-05,0.000419106011042003,0.000732689999963676,0,0,0,0.100863600328395,0.000113117290391984,0.00660888552485195,0.00184513791598329,0.112839209724539,0.0162113018639461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAFE,0.613484508639696,0.949800356977616,0.988771468816226,1,0.951921847455925,NA,NA,0.335822257866524,0.346521441862367,0.646681064770619,0.649218642745402,0.664245561061549,333.989999999998,1058.646,91.05,471.244000000001,229.043,NA,NA,90.1909999999998,373.234,2550.892,4124.537,2684.142,0.150160031567929,0.000446950995449447,0.000732689999963676,0,0.103502956703053,NA,NA,0.00305072996530986,0.00140783952834089,0.237649363956906,0.11848847007298,0.0524775650859137,2,2,0,1,1,NA,NA,0,0,1,0,0
SC3,0.938975329071669,0.938975329071669,1,1,1,1,1,0.448601866303399,0.444528517913403,0.974670078086212,0.833923702346037,0.660581092878697,301.722000000002,400.633000000002,63.0720000000001,100.128,243.231,291.755,296.53,59.199,86.354,4825.80799999999,19297.556,7855.87899999996,0.0377631019897255,0.0377631019897254,0,0,0,0,1.11022302462516e-16,0.000330399207816412,0.000654924442553662,0.000106296968226061,0.156147461922753,0.0954665193416635,0,0,1,1,1,3,7,2,3,4,4,0
SC3svm,0.927290400688633,0.929222546392394,1,1,1,1,0.994921611525594,0.343810742232098,0.220381540503521,0.980525658632151,0.833984807245021,0.641858530363654,92.6419999999999,300.801,44.0649999999999,109.645,76.7410000000004,84.3910000000001,88.9889999999998,41.5049999999999,95.8079999999991,6317.64800000002,3668.19399999997,13763.433,0.0350958818731121,0.0381384599199287,0,0,1.11022302462516e-16,0,0.00251418105641832,0.00489823720933902,0.0137865113757786,6.69965419185514e-05,0.155939522406011,0.139407864591317,0,0,1,1,1,3,7,2,3,4,4,0
Seurat,0.862169836539926,0.901876153086118,0.988045306150089,0.989078676787343,1,1,1,0.356535626440621,0.379377953401073,0.982048571790785,0.981361361373564,0.724295626599759,7.50349999999997,75.3779999999999,5.509,59.207,8.74199999999996,8.07499999999999,9.02199999999999,5.54000000000002,30.582,27.8135,66.1034999999999,38.35,0.000305605157383426,0.00574378115029783,0.00119060143150618,8.19216010145007e-05,1.11022302462516e-16,0,1.11022302462516e-16,0.00147983328186563,0.00244138240171754,0.000112698529683875,9.27421181460275e-05,0.0599821168857708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
